FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Philippe DE BACKER;Belgium;Open Vlaamse Liberalen en Democraten;Non-attached Members;01.07.2014;02 05 2016;1;2;2
Florian PHILIPPOT;France;Les Patriotes;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;5;5
Anthea McINTYRE;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Josef WEIDENHOLZER;Austria;Sozialdemokratische Partei Österreichs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jens NILSSON;Sweden;Arbetarepartiet- Socialdemokraterna;Non-attached Members;01.07.2014;12 03 2018;1;2;2
Svetoslav Hristov MALINOV;Bulgaria;Democrats for Strong Bulgaria;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Kārlis ŠADURSKIS;Latvia;NA;Non-attached Members;28.11.2018;31 12 2019;;;
Petri SARVAMAA;Finland;Kansallinen Kokoomus;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Tonino PICULA;Croatia;Socijaldemokratska partija Hrvatske;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Biljana BORZAN;Croatia;Socijaldemokratska partija Hrvatske;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jozo RADOŠ;Croatia;Građansko-liberalni savez;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Andrej PLENKOVIĆ;Croatia;Hrvatska demokratska zajednica;Non-attached Members;01.07.2014;13 10 2016;1;2;2
Birgit COLLIN-LANGEN;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Eric ANDRIEU;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Martina ANDERSON;United Kingdom;Sinn Fein;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Nils TORVALDS;Finland;Svenska folkpartiet;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Isabelle THOMAS;France;Génération.s, le mouvement;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Mark DEMESMAEKER;Belgium;Nieuw-Vlaamse Alliantie;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Anneleen VAN BOSSUYT;Belgium;Nieuw-Vlaamse Alliantie;European Conservatives and Reformists Group;08.01.2015;31 12 2019;0;0;0
Brian HAYES;Ireland;Fine Gael Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Marlene MIZZI;Malta;Partit Laburista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Roberta METSOLA;Malta;Partit Nazzjonalista;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ruža TOMAŠIĆ;Croatia;Hrvatska konzervativna stranka;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Dubravka ŠUICA;Croatia;Hrvatska demokratska zajednica;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Davor Ivo STIER;Croatia;Hrvatska demokratska zajednica;Non-attached Members;01.07.2014;13 10 2016;4;4;4
Ivana MALETIĆ;Croatia;Hrvatska demokratska zajednica;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Martina MICHELS;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Rina Ronja KARI;Denmark;Folkebevægelsen mod EU;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Christine REVAULT D'ALLONNES BONNEFOY;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Christos STYLIANIDES;Cyprus;Democratic Rally;Non-attached Members;01.07.2014;31 10 2014;1;5;2
Neoklis SYLIKIOTIS;Cyprus;Progressive Party of Working People - Left - New Forces;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;3
Costas MAVRIDES;Cyprus;Democratic Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;1;5
Demetris PAPADAKIS;Cyprus;Movement for Social Democracy EDEK;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Pascal DURAND;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Jan KELLER;Czech Republic;Česká strana sociálně demokratická;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;1
Andrus ANSIP;Estonia;Eesti Reformierakond;Non-attached Members;01.07.2014;31 10 2014;1;2;2
Kaja KALLAS;Estonia;Eesti Reformierakond;Non-attached Members;01.07.2014;04 09 2018;1;2;2
Marju LAURISTIN;Estonia;Sotsiaaldemokraatlik Erakond;Non-attached Members;01.07.2014;05 11 2017;1;2;2
Miroslav POCHE;Czech Republic;Česká strana sociálně demokratická;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;5;5
Jana TOOM;Estonia;Eesti Keskerakond;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;5;5;5
Luděk NIEDERMAYER;Czech Republic;TOP 09 a Starostové;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;2
Jaromír ŠTĚTINA;Czech Republic;TOP 09 a Starostové;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Tibor SZANYI;Hungary;Magyar Szocialista Párt;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Stanislav POLČÁK;Czech Republic;Starostové a nezávisli;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
István UJHELYI;Hungary;Magyar Szocialista Párt;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Pavel TELIČKA;Czech Republic;Independent;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;5;2;2
Petr JEŽEK;Czech Republic;Independent;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Dita CHARANZOVÁ;Czech Republic;ANO 2011;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;5;1;3
Martina DLABAJOVÁ;Czech Republic;ANO 2011;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Michaela ŠOJDROVÁ;Czech Republic;Křesťanská a demokratická unie - Československá strana lidová;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;5;2
Norbert ERDŐS;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andrea BOCSKOR;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Tomáš ZDECHOVSKÝ;Czech Republic;Křesťanská a demokratická unie - Československá strana lidová;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andor DELI;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
György HÖLVÉNYI;Hungary;Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Tamás MESZERICS;Hungary;Lehet Más A Politika;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Benedek JÁVOR;Hungary;Együtt 2014 - Párbeszéd Magyarországért;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Csaba MOLNÁR;Hungary;Demokratikus Koalíció;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Péter NIEDERMÜLLER;Hungary;Demokratikus Koalíció;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Louis-Joseph MANSCOUR;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;3;2
Henna VIRKKUNEN;Finland;Kansallinen Kokoomus;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jussi HALLA-AHO;Finland;Perussuomalaiset;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;5;5
Marc JOULAUD;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Renaud MUSELIER;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Fernando RUAS;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Jérôme LAVRILLEUX;France;-;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Angélique DELAHAYE;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sofia RIBEIRO;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;3;2;2
Cláudia MONTEIRO DE AGUIAR;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Miapetra KUMPULA-NATRI;Finland;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Merja KYLLÖNEN;Finland;Vasemmistoliitto;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Maria João RODRIGUES;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;5;5
Gilles LEBRETON;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Carlos ZORRINHO;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Joëlle BERGERON;France;Sans étiquette;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;5;2
Ricardo SERRÃO SANTOS;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
António MARINHO E PINTO;Portugal;Partido Democrático Republicano;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;2;2;2
Artis PABRIKS;Latvia;-;Group of the European People's Party (Christian Democrats);01.07.2014;05 11 2018;1;2;2
Guillaume BALAS;France;Génération.s, le mouvement;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Iveta GRIGULE-PĒTERSE;Latvia;Zaļo un Zemnieku savienība;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;2;1;1
Andrejs MAMIKINS;Latvia;'Saskaņa' sociāldemokrātiskā partija;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Pedro SILVA PEREIRA;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Marie-Christine ARNAUTU;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;5;1;2
Marijana PETIR;Croatia;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Mireille D'ORNANO;France;Les Patriotes;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;2
Dominique MARTIN;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Aymeric CHAUPRADE;France;Les Français Libres;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;5;5
Marie-Christine BOUTONNET;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Ivan JAKOVČIĆ;Croatia;Istarski demokratski sabor - Dieta democratica istriana;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Jean-Luc SCHAFFHAUSER;France;Rassemblement bleu Marine;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;3
Davor ŠKRLEC;Croatia;Independent;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;5;5
Steeve BRIOIS;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Mylène TROSZCZYNSKI;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Gabrielius LANDSBERGIS;Lithuania;Tėvynės sąjunga-Lietuvos krikščionys demokratai;Non-attached Members;01.07.2014;12 05 2016;1;2;2
Nicolas BAY;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;2;2
Bernard MONOT;France;Debout la France;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;2
Antanas GUOGA;Lithuania;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Giovanni TOTI;Italy;Forza Italia;Non-attached Members;01.07.2014;09 07 2015;1;2;2
Joëlle MÉLIN;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Petras AUŠTREVIČIUS;Lithuania;Lietuvos Respublikos liberalų sąjūdis;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;1;2
Edouard FERRAND;France;Front national;Non-attached Members;01.07.2014;01 02 2018;2;1;2
Valentinas MAZURONIS;Lithuania;Independent;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;2;1;1
Sophie MONTEL;France;-;Non-attached Members;01.07.2014;31 12 2019;2;1;2
Jean-François JALKH;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Dominique BILDE;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Alberto CIRIO;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jean ARTHUIS;France;Union des Démocrates et Indépendants;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;1;1
Mady DELVAUX;Luxembourg;Parti ouvrier socialiste luxembourgeois;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Tiziana BEGHIN;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Marco VALLI;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Eleonora EVI;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;1;1;1
Marco ZANNI;Italy;Lega Nord;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;1
Alfred SANT;Malta;Partit Laburista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;5;2
Dan NICA;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Maria GRAPINI;Romania;Partidul Puterii Umaniste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;2;2;2
Damian DRĂGHICI;Romania;Independent;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Renata BRIANO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Luigi MORGANO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Sorin MOISĂ;Romania;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Doru-Claudian FRUNZULICĂ;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Daniele VIOTTI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Laurenţiu REBEGA;Romania;Independent;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;1;5
Claudia ȚAPARDEL;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Remo SERNAGIOTTO;Italy;Conservatori e Riformisti;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Flavio TOSI;Italy;NA;Non-attached Members;01.07.2014;08 07 2014;0;0;0
David BORRELLI;Italy;Movimento 5 Stelle;Non-attached Members;01.07.2014;31 12 2019;5;1;1
Marco AFFRONTE;Italy;Independent;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Alessandra MORETTI;Italy;Partito Democratico;Non-attached Members;01.07.2014;01 02 2015;1;2;2
Flavio ZANONATO;Italy;Articolo UNO – Movimento Democratico e Progressista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Cécile Kashetu KYENGE;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Siegfried MUREŞAN;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Isabella DE MONTE;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Elly SCHLEIN;Italy;-;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Mircea DIACONU;Romania;Independent;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
David McALLISTER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jens GIESEKE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Norbert LINS;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sven SCHULZE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Barbara SPINELLI;Italy;Independent;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Laura AGEA;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Fabio Massimo CASTALDO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Dario TAMBURRANO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;3;5;5
Simona BONAFÈ;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Arne GERICKE;Germany;Freie Wähler;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Julia REDA;Germany;Piratenpartei Deutschland;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Enrico GASBARRA;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Klaus BUCHNER;Germany;Ökologisch-Demokratische Partei;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;5;5
Goffredo Maria BETTINI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Bernd LUCKE;Germany;Liberal-Conservative Refomists;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Nicola DANTI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Dietmar KÖSTER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Hans-Olaf HENKEL;Germany;Liberal-Conservative Refomists;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;5
Bernd KÖLMEL;Germany;Liberal-Conservative Refomists;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Beatrix von STORCH;Germany;Alternative für Deutschland;Non-attached Members;01.07.2014;23 10 2017;4;4;4
Martina WERNER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Joachim STARBATTY;Germany;Liberal-Conservative Refomists;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Fulvio MARTUSCIELLO;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Ulrike TREBESIUS;Germany;Liberal-Conservative Refomists;European Conservatives and Reformists Group;01.07.2014;31 12 2019;3;3;3
Marcus PRETZELL;Germany;Die blaue Partei;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;2;2
Isabella ADINOLFI;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Udo VOIGT;Germany;Nationaldemokratische Partei Deutschlands;Non-attached Members;01.07.2014;31 12 2019;2;1;2
Laura FERRARA;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Martin SONNEBORN;Germany;Die PARTEI;Non-attached Members;01.07.2014;31 12 2019;4;4;4
Rosa D'AMATO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;1;1;1
Maria NOICHL;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Joachim SCHUSTER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Susanne MELIOR;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;1
Arne LIETZ;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jakob von WEIZSÄCKER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;06 01 2019;5;2;2
Iris HOFFMANN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Daniela AIUTO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Tomislav DONCHEV;Bulgaria;Citizens for European Development of Bulgaria;Non-attached Members;01.07.2014;06 11 2014;1;2;2
Piernicola PEDICINI;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Pina PICIERNO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Elena GENTILE;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Maria HEUBUCH;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Massimo PAOLUCCI;Italy;Articolo UNO – Movimento Democratico e Progressista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Emil RADEV;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Nicola CAPUTO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Sergei STANISHEV;Bulgaria;Bulgarian Socialist Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;4;4;4
Salvatore Domenico POGLIESE;Italy;Forza Italia;Non-attached Members;01.07.2014;13 07 2018;1;2;2
Salvatore CICU;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Georgi PIRINSKI;Bulgaria;Bulgarian Socialist Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ignazio CORRAO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Peter KOUROUMBASHEV;Bulgaria;-;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;17.01.2017;31 12 2019;0;0;0
Fabio DE MASI;Germany;DIE LINKE.;Non-attached Members;01.07.2014;23 10 2017;2;1;1
Giulia MOI;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Renato SORU;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Caterina CHINNICI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;3;2;2
Ulrike MÜLLER;Germany;Freie Wähler;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Stefan ECK;Germany;Independent;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;5;1
Michela GIUFFRIDA;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ilhan KYUCHYUK;Bulgaria;Movement for Rights and Freedoms;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Brando BENIFEI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Alessia Maria MOSCA;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Gianluca BUONANNO;Italy;Lega Nord;Non-attached Members;01.07.2014;05 06 2016;2;1;3
Jeppe KOFOD;Denmark;Socialdemokratiet;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Nikolay BAREKOV;Bulgaria;Reload Bulgaria Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;4;4;4
Morten PETERSEN;Denmark;Det Radikale Venstre;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Angel DZHAMBAZKI;Bulgaria;VMRO;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Bolesław G. PIECHA;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Anders VISTISEN;Denmark;Dansk Folkeparti;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Rikke-Louise KARLSSON;Denmark;Independent;Non-attached Members;01.07.2014;31 12 2019;2;2;2
Jadwiga WIŚNIEWSKA;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
